Year,тип права,Пол,Units,Value
2022,Безвозмездное пользование,женщина,случай,143
2022,Пользование жилым помещением,женщина,случай,3
2022,Сервитут,женщина,случай,6
2022,Right of constructor or unauthorised buidlings,женщина,случай,814
2022,Использование,женщина,случай,17
2022,Право покупки возводимого недвижимого имущества,женщина,случай,7157
2022,Use of unauthorised,женщина,случай,4006
2023,Собственность,женщина,случай,23685
2023,Общая совместная собственность,женщина,случай,10031
2023,Общая долевая собственность,женщина,случай,28183
2023,Аренда,женщина,случай,1056
2023,Поднаем,женщина,случай,6
2023,Залог,женщина,случай,28
2023,Права на застройку  земельного участка,женщина,случай,180
2023,Безвозмездное пользование,женщина,случай,37
2023,Пользование жилым помещением,женщина,случай,1
2023,Сервитут,женщина,случай,14
2023,Right of constructor or unauthorised buidlings,женщина,случай,978
2023,Использование,женщина,случай,6
2023,Право покупки возводимого недвижимого имущества,женщина,случай,8652
2023,Use of unauthorised,женщина,случай,2701
2024,Собственность,женщина,случай,27090
2024,Общая совместная собственность,женщина,случай,9957
2024,Общая долевая собственность,женщина,случай,37603
2024,Аренда,женщина,случай,1444
2024,Поднаем,женщина,случай,9
2024,Залог,женщина,случай,47
2024,Права на застройку  земельного участка,женщина,случай,188
2024,Безвозмездное пользование,женщина,случай,63
2024,Пользование жилым помещением,женщина,случай,2
2024,Сервитут,женщина,случай,10
2024,Доверительное управление,женщина,случай,1
2024,Right of constructor or unauthorised buidlings,женщина,случай,1011
2024,Использование,женщина,случай,5
2024,Право покупки возводимого недвижимого имущества,женщина,случай,14105
2024,Use of unauthorised,женщина,случай,456
2015,Собственность,нейтральный,случай,1
2016,Собственность,нейтральный,случай,1
2017,Общая долевая собственность,нейтральный,случай,1
2022,Общая долевая собственность,нейтральный,случай,1
2024,Собственность,нейтральный,случай,9
2024,Общая совместная собственность,нейтральный,случай,3
2024,Общая долевая собственность,нейтральный,случай,10
2024,Право покупки возводимого недвижимого имущества,нейтральный,случай,4
