Year,Units,Կատեգորիա,Տեսակ,Value
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.06
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.08
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.09
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.08
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.07
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.06
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.06
2015,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.5
2016,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.3
2017,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.4
2018,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.5
2019,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.4
2020,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.5
2021,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.5
2022,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.4
2023,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.3
2024,կիլոգրամներ՝ հաստատուն 2020 թվականի ԱՄՆ դոլարով,"ՀՆԱ-ի մեկ միավորի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,0.3
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,270.8
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-45.6
